semantic_document_id,glossary_id,document_type,source_schema,source_table,source_column,title,content,tags,content_hash,embedding_model,embedding,active_flag,business_domain,related_tables,related_metrics,example_questions,created_at,updated_at
d74f368b-d1a0-4226-bbe2-38db81ae86aa,,business_glossary,public,customers,,Customer,"A customer is the commercial relationship record linked to a party. Use customers for segmentation, lifecycle stage, risk tier, acquisition date, and engagement score. Join customers to parties for names/contact data and to policies for insurance holdings.","{""customer"",""business_glossary""}",897a734405524007e5465fabe16a2933cd7fea3a50bdc1bf5031ace1890b547b,text-embedding-3-small,,true,customer,"{""customers"",""parties"",""policies"",""customer_engagement_events""}","{""customer_count"",""engagement_score"",""policy_count""}","{""How many active customers do we have by segment?"",""Which customers have high engagement but no active policy?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
d65994c0-85cd-4e8e-8c05-c2594737356f,,business_glossary,public,parties,,Party,"A party is a normalized person, household, or organization identity. Customers, agents, agencies, and households all reference parties. Do not count parties as customers unless joined to customers.","{""customer"",""business_glossary""}",0207d298047247cdd60680fd78cc593f7e5f9dd4c156607150c663817190b70e,text-embedding-3-small,,true,customer,"{""parties"",""customers"",""agents"",""addresses""}","{""party_count""}","{""How many organization parties are agencies?"",""Show customer names with their lifecycle stage.""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
efdb54b9-f420-4c6e-b361-d609d7fd59d0,,business_glossary,public,policies,,Policy,"A policy is the insurance contract header. It has customer, agent, product, dates, lifecycle status, payment plan, annual premium, and written premium. One policy may have many coverages, premiums, payments, claims, and engagement events.","{""policy"",""business_glossary""}",bbd041cc87491f27c28c0bff4a591a54be5472fd9151b45d63df8e024e02acac,text-embedding-3-small,,true,policy,"{""policies"",""customers"",""agents"",""products"",""policy_coverages""}","{""policy_count"",""annual_premium"",""written_premium""}","{""What is active policy count by line of business?"",""Which policies lapsed last quarter?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
c0e309ed-806d-4db5-bacb-f16f83a62513,,business_glossary,public,agents,,Agent,"An agent is a producer or servicing representative. Agents are linked to party records and may belong to an agency party. Use agents for book-of-business, sales, movement, and MAPA performance analytics.","{""agent"",""business_glossary""}",379309c5d4f596a2db2b95af4f6cf55442c4bd42ce1f677fbec283d709ff3440,text-embedding-3-small,,true,agent,"{""agents"",""parties"",""agent_movements"",""agent_mapa_metrics"",""policies""}","{""agent_count"",""quote_to_bind_rate"",""new_business_premium""}","{""Which agents produced the most new business premium?"",""Which agents transferred agencies this year?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
4ffb2bbc-797d-48c8-a539-5bb06384c72d,,business_glossary,public,campaigns,,Campaign,"A campaign is a marketing initiative with objective, channel, line-of-business target, start/end dates, and budget. Campaign attribution flows from campaigns to targets, responses, leads, opportunities, and policies.","{""campaign"",""business_glossary""}",89bb6e24b4d58a6b450b553fcf269cf4f116df72a3b52159052065ee5e760062,text-embedding-3-small,,true,campaign,"{""campaigns"",""campaign_targets"",""campaign_responses"",""leads"",""opportunities"",""policies""}","{""conversion_rate"",""conversion_premium"",""campaign_roi""}","{""Which campaigns generated the most converted premium?"",""What is conversion rate by campaign channel?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
4e659145-69b3-48fe-b19b-b3b9d753ebe3,,business_glossary,public,claims,,Claim,"A claim is an insurance loss record tied to a policy and customer. Claims include loss date, report date, status, cause, paid amount, reserve amount, and flags for litigation or catastrophe.","{""claims"",""business_glossary""}",7a4741208cfd99f817f358e2980dd7a4cdbac93d6c481895e042dcff73e9b831,text-embedding-3-small,,true,claims,"{""claims"",""policies"",""customers"",""products"",""premiums""}","{""claim_count"",""paid_amount"",""reserve_amount"",""incurred_amount"",""loss_ratio""}","{""Show claim frequency by product family."",""What is loss ratio by line of business?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
3254a52d-b25d-4fe9-8ac3-09a6fe70c45b,,kpi_definition,public,premiums,written_premium_amount,Written Premium,"Written premium is the premium recorded when new business, renewal, endorsement, cancellation, reinstatement, or audit transactions are written. Use premiums.written_premium_amount for transaction-level analysis. Use policies.written_premium only for policy-header summaries.","{""premium"",""kpi_definition""}",6fe7c6e33c83fc4bb5f21f8224751fa9d54ad777281a0800b813981eafac34ca,text-embedding-3-small,,true,premium,"{""premiums"",""policies"",""products"",""agents""}","{""written_premium""}","{""What was written premium by month?"",""Which products had the highest written premium?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
dcc1271c-8aca-4fa1-b562-f498b981e499,,kpi_definition,public,premiums,earned_premium_amount,Earned Premium,Earned premium is the portion of premium recognized for coverage already provided. Use sum(premiums.earned_premium_amount). Earned premium is the denominator for loss ratio.,"{""premium"",""kpi_definition""}",edbbde54485719855ed73ac74ef72679730d62256953a6d6255982d30496c35a,text-embedding-3-small,,true,premium,"{""premiums"",""policies"",""products""}","{""earned_premium"",""loss_ratio""}","{""What was earned premium by quarter?"",""Show earned premium by product line.""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
0bc5d3b4-0914-47f7-a6fa-8b29d272aa7d,,kpi_definition,,,,Loss Ratio,"Loss ratio equals incurred claims divided by earned premium. Incurred claims should be paid_amount plus reserve_amount from claims. Join claims to policies and premiums by policy_id, aggregate both sides to the same grain before division to avoid premium duplication.","{""claims"",""kpi_definition""}",953b74a1518327ca593f15783ca4eae221aa3aeaa58cb0e4615c6f882e0ec1ee,text-embedding-3-small,,true,claims,"{""claims"",""premiums"",""policies"",""products""}","{""loss_ratio"",""incurred_amount"",""earned_premium""}","{""What is loss ratio by line of business?"",""Which products have loss ratio above 80%?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
d2063147-c27d-45ad-9970-4f22d05e9b79,,kpi_definition,,,,Campaign Conversion Rate,Campaign conversion rate equals converted responses divided by sent or selected campaign targets. Use campaign_responses.conversion_flag = true for conversions. For channel-level analysis group by campaigns.channel.,"{""campaign"",""kpi_definition""}",99e118e58149781392e3aa6bd6825d204a2fe9dbfd365e73882b9a7d522cf336,text-embedding-3-small,,true,campaign,"{""campaigns"",""campaign_targets"",""campaign_responses""}","{""conversion_rate"",""converted_response_count"",""target_count""}","{""What is campaign conversion rate by channel?"",""Which campaign type converts best for health products?""}",2026-05-29T03:51:15+00:00,2026-05-29T03:51:15+00:00
